imagen,diseno,bordes,pixeles,densidad_pct
flower,sobel,178,936,19.0
flower,canny1,215,936,23.0
flower,trans,194,936,20.7
flower,soc_sobel,178,936,19.0
flower,soc_canny1,215,936,23.0
flower,soc_trans,194,936,20.7
monarch,sobel,791,936,84.5
monarch,canny1,870,936,92.9
monarch,trans,786,936,84.0
monarch,soc_sobel,791,936,84.5
monarch,soc_canny1,870,936,92.9
monarch,soc_trans,786,936,84.0
butterfly,sobel,804,936,85.9
butterfly,canny1,893,936,95.4
butterfly,trans,822,936,87.8
butterfly,soc_sobel,804,936,85.9
butterfly,soc_canny1,893,936,95.4
butterfly,soc_trans,822,936,87.8
mano,sobel,267,936,28.5
mano,canny1,357,936,38.1
mano,trans,273,936,29.2
mano,soc_sobel,267,936,28.5
mano,soc_canny1,357,936,38.1
mano,soc_trans,273,936,29.2
hi,sobel,607,936,64.9
hi,canny1,743,936,79.4
hi,trans,671,936,71.7
hi,soc_sobel,607,936,64.9
hi,soc_canny1,743,936,79.4
hi,soc_trans,671,936,71.7
