imagen,diseno,bordes,pixeles,densidad_pct
flower,sobel,91,936,9.7
flower,canny1,90,936,9.6
flower,trans,90,936,9.6
flower,soc_sobel,91,936,9.7
flower,soc_canny1,90,936,9.6
flower,soc_trans,90,936,9.6
monarch,sobel,392,936,41.9
monarch,canny1,227,936,24.3
monarch,trans,235,936,25.1
monarch,soc_sobel,392,936,41.9
monarch,soc_canny1,227,936,24.3
monarch,soc_trans,235,936,25.1
butterfly,sobel,442,936,47.2
butterfly,canny1,380,936,40.6
butterfly,trans,386,936,41.2
butterfly,soc_sobel,442,936,47.2
butterfly,soc_canny1,380,936,40.6
butterfly,soc_trans,386,936,41.2
mano,sobel,102,936,10.9
mano,canny1,53,936,5.7
mano,trans,58,936,6.2
mano,soc_sobel,102,936,10.9
mano,soc_canny1,53,936,5.7
mano,soc_trans,58,936,6.2
hi,sobel,378,936,40.4
hi,canny1,365,936,39.0
hi,trans,363,936,38.8
hi,soc_sobel,378,936,40.4
hi,soc_canny1,365,936,39.0
hi,soc_trans,363,936,38.8
