imagen,diseno,bordes,pixeles,densidad_pct
flower,sobel,47,192,24.5
flower,canny1,65,192,33.9
flower,trans,59,192,30.7
flower,soc_sobel,47,192,24.5
flower,soc_canny1,65,192,33.9
flower,soc_trans,59,192,30.7
monarch,sobel,172,192,89.6
monarch,canny1,183,192,95.3
monarch,trans,164,192,85.4
monarch,soc_sobel,172,192,89.6
monarch,soc_canny1,183,192,95.3
monarch,soc_trans,164,192,85.4
butterfly,sobel,181,192,94.3
butterfly,canny1,184,192,95.8
butterfly,trans,172,192,89.6
butterfly,soc_sobel,181,192,94.3
butterfly,soc_canny1,184,192,95.8
butterfly,soc_trans,172,192,89.6
mano,sobel,102,192,53.1
mano,canny1,138,192,71.9
mano,trans,106,192,55.2
mano,soc_sobel,102,192,53.1
mano,soc_canny1,138,192,71.9
mano,soc_trans,106,192,55.2
hi,sobel,161,192,83.9
hi,canny1,184,192,95.8
hi,trans,169,192,88.0
hi,soc_sobel,161,192,83.9
hi,soc_canny1,184,192,95.8
hi,soc_trans,169,192,88.0
