imagen,diseno,bordes,pixeles,densidad_pct
flower,sobel,51,432,11.8
flower,canny1,59,432,13.7
flower,trans,59,432,13.7
flower,soc_sobel,51,432,11.8
flower,soc_canny1,59,432,13.7
flower,soc_trans,59,432,13.7
monarch,sobel,177,432,41.0
monarch,canny1,102,432,23.6
monarch,trans,101,432,23.4
monarch,soc_sobel,177,432,41.0
monarch,soc_canny1,102,432,23.6
monarch,soc_trans,101,432,23.4
butterfly,sobel,230,432,53.2
butterfly,canny1,163,432,37.7
butterfly,trans,163,432,37.7
butterfly,soc_sobel,230,432,53.2
butterfly,soc_canny1,163,432,37.7
butterfly,soc_trans,163,432,37.7
mano,sobel,45,432,10.4
mano,canny1,29,432,6.7
mano,trans,30,432,6.9
mano,soc_sobel,45,432,10.4
mano,soc_canny1,29,432,6.7
mano,soc_trans,30,432,6.9
hi,sobel,219,432,50.7
hi,canny1,191,432,44.2
hi,trans,191,432,44.2
hi,soc_sobel,219,432,50.7
hi,soc_canny1,191,432,44.2
hi,soc_trans,191,432,44.2
