Metric,Value
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,986.11
design__instance__count__class:fill_cell,32700
design__instance__area__class:fill_cell,333677
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,74
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,74
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,74
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,74
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19953
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19999
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000472175
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000584442
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000123225
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000584442
design_powergrid__voltage__worst,0.000584442
design_powergrid__voltage__worst__net:VPWR,1.19953
design_powergrid__drop__worst,0.000584442
design_powergrid__drop__worst__net:VPWR,0.000472175
design_powergrid__voltage__worst__net:VGND,0.000584442
design_powergrid__drop__worst__net:VGND,0.000584442
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00001270000000000000037821308584984336675915983505547046661376953125
ir__drop__worst,0.00047199999999999998033517467632691477774642407894134521484375
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
