Metric,Value
route__wirelength__iter:6,439971
route__drc_errors,0
route__wirelength,439971
route__vias,85732
route__vias__singlecut,85732
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,865.545
design__instance__count__class:fill_cell,31506
design__instance__area__class:fill_cell,307443
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,100
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,100
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,100
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,100
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19886
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19999
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00113657
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000322117
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000135361
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000322117
design_powergrid__voltage__worst,0.000322117
design_powergrid__voltage__worst__net:VPWR,1.19886
design_powergrid__drop__worst,0.00113657
design_powergrid__drop__worst__net:VPWR,0.00113657
design_powergrid__voltage__worst__net:VGND,0.000322117
design_powergrid__drop__worst__net:VGND,0.000322117
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00001489999999999999964338422142606788156626862473785877227783203125
ir__drop__worst,0.0011399999999999999543420781122904372750781476497650146484375
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
